0	0	0	0.078
1.309	0.081	1.2	0.129
1.898	0.133	2.068	0.183
2.229	0.174	2.592	0.23
2.53	0.213	2.984	0.28
2.809	0.252	3.32	0.328
3.123	0.294	3.656	0.377
3.432	0.337	4.044	0.426
3.733	0.38	4.678	0.478
3.908	0.421	5.363	0.53
4.216	0.459	6.186	0.565
4.507	0.497	7.762	0.579
4.838	0.539	8.863	0.623
5.196	0.571	9.451	0.668
5.803	0.605	9.781	0.715
7.519	0.629	10.211	0.77
8.78	0.642	10.456	0.821
9.654	0.681	10.915	0.875
10.145	0.724	11.153	0.925
10.645	0.765	11.483	0.974
10.961	0.803	11.74	1.024
11.32	0.846	12.037	1.074
11.607	0.886	12.476	1.125
12.017	0.921	12.523	1.18
12.308	0.975	12.843	1.235
12.644	1.032	13.09	1.289
12.923	1.074	13.474	1.338
13.267	1.115	13.598	1.386
13.527	1.156	13.955	1.438
13.803	1.199	14.212	1.485
14.2	1.237	14.546	1.537
14.686	1.314	14.905	1.591
14.966	1.354	15.25	1.641
15.301	1.394	15.637	1.692
15.637	1.434	15.972	1.744
15.973	1.475	16.37	1.793
16.309	1.515	16.79	1.844
16.645	1.554	17.244	1.891
17.009	1.596	17.703	1.935
17.399	1.638	18.315	1.99
17.739	1.677	18.829	2.038
18.129	1.718	19.473	2.087
18.521	1.761	20.228	2.136
18.941	1.803	21.269	2.186
19.389	1.844	22.776	2.213
19.864	1.886	24.311	2.195
20.368	1.926	25.519	2.152
20.823	1.964	26.555	2.103
21.46	2.006	27.563	2.049
22.356	2.045	28.457	1.997
23.476	2.071	29.36	1.946
24.651	2.07	30.069	1.901
25.827	2.045	30.782	1.858
27.42	1.979	31.566	1.81
28.68	1.937	32.377	1.762
29.162	1.888	33.189	1.715
29.822	1.843	34.006	1.669
30.457	1.813	34.705	1.627
31.116	1.781	35.448	1.584
31.827	1.728	36.007	1.549
32.451	1.691	36.516	1.516
33.037	1.652	37.072	1.479
33.654	1.604	37.864	1.428
34.353	1.561	38.777	1.371
35.139	1.51	39.638	1.32
35.811	1.474	40.359	1.274
36.46	1.436	41.213	1.23
37.108	1.401	42.11	1.182
37.678	1.366	43.132	1.139
38.368	1.328	44.177	1.095
39.042	1.285	45.147	1.059
39.753	1.25	46.289	1.024
40.444	1.212	47.298	1.002
41.17	1.173	48.754	0.979
41.862	1.136	50.209	0.965
43.073	1.092	51.665	0.962
44.184	1.052	53.121	0.971
45.309	1.016	54.676	0.991
46.545	0.984	56.201	1.019
47.694	0.958	57.488	1.054
49.092	0.93	58.969	1.097
50.337	0.912	60.239	1.141
51.525	0.906	61.472	1.189
52.701	0.91	62.558	1.238
53.876	0.921	63.454	1.286
55.052	0.939	64.346	1.332
56.228	0.961	65.186	1.379
57.404	0.987	66.026	1.427
58.579	1.017	66.837	1.474
59.755	1.051	67.57	1.516
60.931	1.087	68.282	1.558
62.022	1.126	69.125	1.609
62.946	1.164	70.103	1.661
63.758	1.202	70.847	1.712
64.514	1.241	71.54	1.76
65.242	1.281	72.293	1.807
65.942	1.319	73.156	1.865
66.641	1.359	73.81	1.899
67.338	1.398	74.548	1.938
67.933	1.435	75.784	1.994
68.629	1.477	77.055	2.039
69.317	1.515	78.514	2.08
69.86	1.554	80.14	2.108
70.425	1.592	81.539	2.11
71.024	1.632	82.734	2.088
71.608	1.667	83.89	2.05
72.279	1.706	84.977	1.994
72.893	1.745	85.847	1.933
73.556	1.783	86.479	1.876
74.228	1.822	87.008	1.832
74.927	1.86	87.38	1.783
75.655	1.899	87.802	1.735
76.439	1.938	88.22	1.685
77.27	1.976	88.506	1.636
78.281	2.014	88.894	1.586
79.441	2.05	89.176	1.537
80.614	2.064	89.56	1.487
82.301	2.056	89.876	1.431
83.464	2.03	90.162	1.386
84.282	2.006	90.405	1.338
84.674	1.989	90.758	1.291
85.317	1.954	91.013	1.239
85.906	1.91	91.32	1.184
86.473	1.865	91.616	1.131
86.909	1.828	91.891	1.083
87.259	1.786	92.172	1.03
87.552	1.748	92.482	0.981
87.864	1.708	92.727	0.933
88.206	1.668	93.023	0.885
88.542	1.625	93.26	0.834
88.849	1.584	93.527	0.787
89.104	1.544	93.744	0.736
89.391	1.503	94.184	0.682
89.676	1.459	94.434	0.632
89.904	1.421	94.856	0.585
90.121	1.383	95.251	0.536
90.404	1.341	95.635	0.486
90.625	1.299	96.043	0.435
90.908	1.257	96.601	0.385
91.136	1.215	97.134	0.336
91.36	1.175	97.75	0.286
91.584	1.134	98.379	0.238
91.788	1.093	99.044	0.191
92.031	1.054	100	0.15
92.255	1.015	NaN	NaN
92.479	0.976	NaN	NaN
92.703	0.937	NaN	NaN
92.921	0.897	NaN	NaN
93.203	0.855	NaN	NaN
93.425	0.812	NaN	NaN
93.707	0.771	NaN	NaN
93.955	0.728	NaN	NaN
94.231	0.688	NaN	NaN
94.486	0.648	NaN	NaN
94.924	0.606	NaN	NaN
95.146	0.568	NaN	NaN
95.403	0.525	NaN	NaN
95.877	0.483	NaN	NaN
96.38	0.435	NaN	NaN
96.813	0.389	NaN	NaN
97.224	0.35	NaN	NaN
97.572	0.314	NaN	NaN
98.073	0.275	NaN	NaN
98.61	0.237	NaN	NaN
99.075	0.197	NaN	NaN
99.534	0.158	NaN	NaN
100	0.131	NaN	NaN
