0.118	0.218
0.146	0.261
0.182	0.311
0.232	0.369
0.294	0.430
0.368	0.492
0.453	0.551
0.547	0.603
0.648	0.644
0.753	0.671
0.856	0.679
0.953	0.669
1.040	0.639
1.112	0.591
1.167	0.527
1.202	0.451
1.214	0.366
1.205	0.276
1.174	0.186
1.124	0.098
1.059	0.014
0.981	-0.063
0.896	-0.134
0.807	-0.196
0.719	-0.252
0.635	-0.300
0.559	-0.341
0.491	-0.377
0.435	-0.408
0.390	-0.434
0.356	-0.456
0.332	-0.475
0.320	-0.489
0.316	-0.501
0.320	-0.509
0.331	-0.513
0.348	-0.515
0.369	-0.512
0.394	-0.507
0.422	-0.498
0.451	-0.486
0.481	-0.471
0.511	-0.454
0.541	-0.434
0.569	-0.413
0.596	-0.389
0.620	-0.365
0.642	-0.340
0.661	-0.314
0.678	-0.288
0.691	-0.262
0.701	-0.236
0.708	-0.209
0.712	-0.183
0.713	-0.157
0.713	-0.130
0.710	-0.104
0.706	-0.078
0.700	-0.053
0.693	-0.028
0.684	-0.004
0.675	0.019
0.665	0.042
0.655	0.063
0.642	0.083
0.631	0.102
0.619	0.119
0.607	0.135
0.594	0.149
0.581	0.162
0.567	0.174
0.552	0.184
0.537	0.192
0.521	0.199
0.505	0.205
0.487	0.209
0.469	0.212
0.451	0.213
0.432	0.214
0.413	0.214
0.394	0.213
0.375	0.212
0.356	0.211
0.338	0.210
0.321	0.209
0.305	0.208
0.290	0.208
0.277	0.208
0.265	0.208
0.255	0.208
0.245	0.207
0.237	0.207
0.230	0.205
0.223	0.202
0.216	0.197
0.209	0.190
0.200	0.182
0.190	0.173
0.179	0.162
0.167	0.150
0.153	0.139
