0.061	0.096
0.065	0.098
0.072	0.100
0.080	0.100
0.086	0.097
0.089	0.091
0.088	0.084
0.085	0.078
0.082	0.074
0.081	0.071
0.082	0.070
0.085	0.071
0.089	0.073
0.092	0.076
0.094	0.079
0.096	0.081
0.096	0.083
0.097	0.084
0.100	0.085
0.103	0.086
0.106	0.087
0.108	0.089
0.109	0.090
0.111	0.091
0.114	0.093
0.119	0.095
0.125	0.099
0.133	0.104
0.143	0.110
0.154	0.117
0.165	0.124
0.178	0.131
0.190	0.140
0.203	0.150
0.216	0.162
0.230	0.176
0.243	0.189
0.255	0.202
0.265	0.212
0.272	0.221
0.274	0.227
0.271	0.231
0.264	0.231
0.253	0.226
0.237	0.217
0.217	0.203
0.193	0.185
0.168	0.166
0.143	0.146
0.120	0.125
0.100	0.105
0.082	0.087
0.067	0.072
0.055	0.062
0.046	0.055
0.040	0.051
0.036	0.050
0.034	0.052
0.033	0.053
0.033	0.055
0.034	0.056
0.035	0.057
0.037	0.056
0.038	0.054
0.039	0.052
0.040	0.051
0.040	0.050
0.040	0.049
0.040	0.049
0.039	0.047
0.038	0.046
0.036	0.043
0.035	0.040
0.033	0.037
0.031	0.034
0.030	0.032
0.028	0.030
0.027	0.028
0.026	0.027
0.025	0.026
0.025	0.026
0.025	0.025
0.026	0.025
0.026	0.025
0.026	0.026
0.026	0.026
0.027	0.028
0.027	0.029
0.028	0.032
0.029	0.035
0.031	0.038
0.032	0.042
0.033	0.047
0.033	0.053
0.034	0.059
0.035	0.066
0.037	0.072
0.040	0.077
0.043	0.081
0.046	0.084
0.047	0.085
